time/total_timesteps,train/learning_rate,time/fps,train/n_updates,rollout/ep_rew_mean,train/critic_loss,rollout/ep_len_mean,train/actor_loss,time/time_elapsed,time/episodes,eval/mean_ep_length,eval/mean_reward
78477,0.001,111,78322,185.16776137000005,1.2433730220794679,127.84,-28.357915030585396,706,752,,
78977,0.001,111,78830,184.90250986000004,1.2856282577739926,127.63,-28.350211054086685,710,756,,
79000,0.001,,78947,,1.2504772946365879,,-28.237024274365655,,,126.3,183.39368431568147
79483,0.001,111,79321,184.90842431000004,1.276475542392887,127.63,-28.499776152313732,715,760,,
79987,0.001,111,79831,184.54886662,1.2253467621803285,127.34,-28.35561946130568,719,764,,
80000,0.001,,79957,,1.1869219139454856,,-28.251829389541868,,,126.3,183.39368431568147
80489,0.001,110,80333,184.65202267999996,1.342123242524954,127.43,-28.312681139432467,725,768,,
81000,0.001,,80846,,1.244931090233931,,-28.527917975810038,,,126.3,183.39368431568147
81003,,110,,184.85135599999998,,127.59,,731,772,,
81492,0.001,110,81343,184.54735561,1.251509896487244,127.35,-28.30916732152303,734,776,,
82000,0.001,,81851,,1.2985572766873144,,-28.17352513344057,,,126.3,183.39368431568147
82015,,110,,184.78475972999996,,127.54,,740,780,,
82526,0.001,110,82366,184.64822734,1.2031468784898744,127.44,-28.452382585895595,744,784,,
83000,0.001,,82890,,1.2438062632730764,,-28.452988404494064,,,126.3,183.39368431568147
83051,,110,,184.77751370000001,,127.55,,750,788,,
83572,0.001,110,83419,184.87398391999994,1.2501467957751442,127.63,-28.27534608107347,754,792,,
84000,0.001,,83920,,1.200463019193165,,-28.299260487632147,,,126.3,183.39368431568147
84079,,110,,184.76468642999995,,127.54,,759,796,,
84592,0.001,110,84433,184.81710378,1.2227481728599918,127.57,-28.3963804552632,764,800,,
85000,0.001,,84943,,1.2373472932697267,,-28.316147476434708,,,126.3,183.39368431568147
85096,,110,,184.89715961000002,,127.62,,769,804,,
85613,0.001,110,85461,184.98987041000004,1.2031487462331922,127.7,-28.36847548553909,773,808,,
86000,0.001,,85960,,1.2244985158703907,,-28.11992336908976,,,126.3,183.39368431568147
86119,,110,,184.74442956000001,,127.5,,779,812,,
86633,0.001,110,86482,184.75167136000005,1.1981328752305773,127.49,-28.162990906659296,783,816,,
87000,0.001,,86858,,1.216898309126977,,-28.30680505691036,,,126.3,183.39368431568147
87133,0.001,110,86985,184.62080742,1.219616832695608,127.38,-28.33419394114661,788,820,,
87631,0.001,110,87481,184.48933833000004,1.19036979334695,127.28,-28.37499894036187,792,824,,
88000,0.001,,87857,,1.2389676676346706,,-28.154577431311974,,,126.3,183.39368431568147
88139,0.001,110,87982,184.39086481,1.1707769203186036,127.2,-28.27540467277406,798,828,,
88650,0.001,110,88490,184.3497181,1.2025755457024077,127.17,-28.23630247543107,802,832,,
89000,0.001,,88859,,1.2587609388789192,,-28.493231288722303,,,126.3,183.39368431568147
89147,0.001,110,88982,184.33532698,1.2299521948263896,127.16,-28.09294734462615,807,836,,
89650,0.001,110,89495,184.28086034999995,1.183990938048209,127.12,-28.306974287955992,811,840,,
