rollout/ep_len_mean,time/time_elapsed,time/episodes,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/learning_rate,train/critic_loss,train/n_updates,train/actor_loss,eval/mean_reward,eval/mean_ep_length
,,,,51000,,0.001,25.911049766774557,50870,-59.01539611816406,138.90619805455208,109.6
166.95,355,524,401.4334615700001,51155,143,0.001,26.338989532745636,50981,-58.67597614635121,,
,,,,52000,,0.001,26.942889257649146,51813,-59.24629391926091,432.5647014439106,266.0
174.26,362,528,404.43698114,52433,144,,,,,,
,,,,53000,,0.001,29.693277164417154,52357,-59.30840856888715,1949.982007330656,896.4
,,,,54000,,0.001,32.056432440661,53495,-60.01876272671465,1041.3690345704556,1000.0
193.89,395,532,430.3278537599999,54952,138,0.001,29.463760166168214,54495,-59.47300561523438,,
,,,,55000,,0.001,31.462941893129525,54876,-59.52530496407554,405.2876341402531,232.0
197.4,403,536,438.38402234000006,55847,138,0.001,33.349946853013066,55575,-60.11152743171243,,
,,,,56000,,0.001,34.37067585126728,55912,-59.89886651912206,537.1694963854272,228.5
200.43,409,540,443.84330131,56676,138,0.001,33.13664472730536,56203,-60.445804395173724,,
,,,,57000,,0.001,36.86313083206398,56903,-60.124301633973054,1040.840425625071,356.2
204.72,418,544,454.8353430900001,57643,137,0.001,34.4261536709674,57288,-60.38652584095693,,
,,,,58000,,0.001,34.08459252524974,57567,-60.45391571264473,1194.2500540792942,380.3
206.57,425,548,463.38161098000006,58336,137,0.001,31.837853530357624,58006,-60.42509104410807,,
206.11,428,552,459.75283579,58807,137,0.001,34.613120653950574,58597,-61.087810788835796,,
,,,,59000,,0.001,36.233860385033395,58912,-61.942618339292466,21.77221813481301,37.7
203.53,430,556,450.10906841,59064,137,0.001,32.84129031499227,58948,-59.86526891920302,,
201.17,432,560,441.0569689900001,59346,137,0.001,35.489848265776764,59216,-61.504775691676784,,
198.69,434,564,434.08246778000006,59669,137,0.001,36.7215218708433,59561,-61.18984386838716,,
193.74,434,568,417.61436191,59808,137,0.001,38.738368841317985,59700,-61.57175521850586,,
189.76,435,572,404.49725361000003,59938,137,0.001,32.330806223551434,59829,-61.30244369506836,,
,,,,60000,,0.001,33.616272078620064,59916,-60.35117552015517,21.6024615380913,33.9
186.77,436,576,393.4669728500001,60137,137,0.001,40.739825901232265,60007,-61.050705909729004,,
182.25,437,580,378.8324713400001,60263,137,0.001,35.68520346809836,60156,-61.582756266874426,,
179.32,438,584,368.27415185999996,60466,137,0.001,35.161495414940084,60339,-61.51958359612359,,
175.71,439,588,354.69847239999996,60675,137,0.001,33.4167343718665,60570,-61.612586566380095,,
170.15,440,592,335.56404575,60810,138,0.001,31.151302626638703,60700,-61.17237180822036,,
163.99,441,596,313.11939393,60927,138,0.001,31.61757926940918,60827,-59.63990751902262,,
,,,,61000,,0.001,39.805710568147546,60885,-61.176965601304,35.293214949057436,43.6
157.1,442,600,287.62095226,61073,138,0.001,35.01564324696859,60963,-61.22620391845703,,
151.31,443,604,266.77679408,61203,138,0.001,34.10208428700765,61097,-61.21819839477539,,
145.94,443,608,247.45061184999997,61345,138,0.001,34.28706806461985,61233,-60.99832706451416,,
139.29,445,612,229.90980888,61520,138,0.001,35.52976451873779,61399,-61.19839080810547,,
,,,,62000,,0.001,37.520150968763566,61444,-61.537495488705844,1036.6850732326507,1000.0
,,,,63000,,0.001,34.31470267772674,62444,-60.974791381835935,1045.9796877324582,1000.0
,,,,64000,,0.001,32.35513853263855,63444,-60.849969650268555,1053.5994017958642,1000.0
,,,,65000,,0.001,31.67310209751129,64444,-60.861644912719726,1060.197240459919,1000.0
171.19,498,616,247.88038108,65520,131,,,,,,
,,,,66000,,0.001,29.925989191055297,65444,-60.55576570129394,1057.3342329978943,1000.0
,,,,67000,,0.001,28.759224863052367,66444,-60.53771315765381,1048.6636903345584,1000.0
,,,,68000,,0.001,27.592605935096742,67444,-60.39368334197998,1050.7726660847663,1000.0
,,,,69000,,0.001,27.576410296440123,68444,-60.72384218597412,1062.722840732336,1000.0
188.45,554,620,265.90410458,69520,125,,,,,,
,,,,70000,,0.001,28.04721376991272,69444,-61.30453486633301,1055.9807133436202,1000.0
,,,,71000,,0.001,26.69335432243347,70444,-61.349495376586916,1090.95533772707,1000.0
,,,,72000,,0.001,28.495432953834534,71444,-61.583427726745605,1063.5018628478051,1000.0
,,,,73000,,0.001,26.864361680984498,72444,-61.75020209503174,1135.1298401415347,1000.0
223.65,610,624,301.73726137,73520,120,,,,,,
,,,,74000,,0.001,27.446485368728638,73444,-62.130358100891115,1176.6548254847526,1000.0
225.25,631,628,302.84795801,74958,118,0.001,29.046335697174072,74728,-62.21382322149762,,
,,,,75000,,0.001,27.718109310447396,74882,-62.34564644949777,176.54072258472442,121.0
