train/critic_loss,train/learning_rate,time/total_timesteps,time/fps,train/actor_loss,rollout/ep_len_mean,train/n_updates,time/episodes,time/time_elapsed,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length
17.2401434701988,0.001,1234000,,-115.92791748046875,,1233832,,,,1034.7322948247195,366.5
17.873832695682843,0.001,1235000,,-116.40389566421509,,1234670,,,,1148.740165156126,422.3
,,1235197,85,,414.73,,4084,14388,1195.33136414,,
17.001156223922216,0.001,1236000,,-115.63376723217362,,1235585,,,,1855.8577674865724,640.3
15.990002478529142,0.001,1237000,,-115.67672453361286,,1236330,,,,1317.376660233736,468.5
18.518340629781022,0.001,1237641,85,-115.44394179185231,421.19,1237099,4088,14420,1217.0976038300003,,
16.594044330361655,0.001,1238000,,-115.51947021484375,,1237553,,,,2649.190150618553,880.5
16.617589126629046,0.001,1239000,,-115.87924059519327,,1238549,,,,1592.8812387049197,518.0
16.876506075698337,0.001,1239859,85,-115.49254759367521,430.5,1239465,4092,14457,1251.91624425,,
17.40855739630905,0.001,1240000,,-115.93480188706341,,1239771,,,,1345.149807676673,428.1
16.8501054617896,0.001,1241000,,-115.98002806706215,,1240623,,,,948.7666428685188,345.4
17.087918684118634,0.001,1242000,,-115.62280311347536,,1240944,,,,2251.3414187848566,752.4
,,1242032,85,,430.46,,4096,14491,1259.43608619,,
16.667264819904496,0.001,1243000,,-115.71467200745927,,1242759,,,,1568.932249462558,555.6
17.13980224381632,0.001,1243769,85,-115.14730087963503,425.3,1243429,4100,14518,1236.19388968,,
17.65323944129641,0.001,1244000,,-115.34812975686694,,1243681,,,,1049.6088856637477,363.4
16.80898409887077,0.001,1244993,85,-115.08344169068181,421.73,1244579,4104,14532,1222.06456026,,
16.89256682863996,0.001,1245000,,-115.81836386838573,,1244905,,,,1935.5259704232217,607.8
17.521246594258002,0.001,1246000,,-115.161573742282,,1245524,,,,2198.3262329816816,694.2
18.060443183492282,0.001,1246777,85,-115.36957267335224,426.43,1246375,4108,14563,1237.43609227,,
16.091615423275407,0.001,1247000,,-115.18058553319068,,1246689,,,,1733.0944583296775,564.3
16.720287349036937,0.001,1248000,,-115.4108465534367,,1247603,,,,1250.3060280442237,399.5
,,1248042,85,,426.77,,4112,14583,1237.20859367,,
16.094384655179713,0.001,1249000,,-114.93257840725744,,1248758,,,,822.5331419128925,310.7
16.200595240049726,0.001,1249446,85,-115.6235534088521,427.23,1249074,4116,14598,1234.7786651699998,,
16.555270898909797,0.001,1250000,,-115.26990568070184,,1249694,,,,1518.1448599398136,492.4
16.35946628524036,0.001,1250701,85,-115.39110901044762,427.4,1250387,4120,14614,1231.7617228699999,,
18.27851220511605,0.001,1251000,,-115.35336572615827,,1250856,,,,431.5780270531774,224.5
16.680615621856425,0.001,1251813,85,-114.66149396623884,429.17,1251532,4124,14626,1233.5007242199997,,
16.950143875853385,0.001,1252000,,-116.00873001416524,,1251725,,,,823.9743017792701,310.4
17.374081269829674,0.001,1253000,,-115.74396851483513,,1252710,,,,963.1807088643312,355.7
,,1253118,85,,428.33,,4128,14643,1224.43791113,,
17.734318293057957,0.001,1254000,,-115.3840633622752,,1253905,,,,751.6396019518376,283.5
,,1254326,85,,419.2,,4132,14656,1190.3301895500001,,
16.012278571405908,0.001,1255000,,-115.89031628864568,,1254784,,,,1235.2442766919733,433.2
16.072621187626922,0.001,1255381,85,-116.41763977657091,417.08,1255086,4136,14670,1180.25129387,,
18.27213240892459,0.001,1256000,,-116.05685516096588,,1255527,,,,1168.6479278564452,438.2
17.59677563354432,0.001,1257000,,-116.16683595076852,,1256872,,,,1232.369140511751,467.5
,,1257468,85,,413.14,,4140,14693,1164.03701822,,
16.656471360605746,0.001,1258000,,-116.24863922901643,,1257693,,,,912.3305289506912,356.6
16.577737062141814,0.001,1258577,85,-116.57918042150037,399.7,1258222,4144,14708,1116.88657624,,
15.819718976094933,0.001,1259000,,-116.31700244392316,,1258904,,,,1254.5146025538445,470.8
15.7466821738847,0.001,1259646,85,-116.55202159662356,392.98,1259253,4148,14722,1090.34492315,,
15.494797950494485,0.001,1260000,,-116.53758688534008,,1259558,,,,1806.819089114666,634.1
15.254643240996769,0.001,1261000,,-117.3462525503976,,1260581,,,,1057.638099783659,398.2
15.326933627327284,0.001,1261300,85,-116.82877274354298,394.53,1260965,4152,14747,1091.6277710200002,,
16.516190240780514,0.001,1262000,,-116.67073866526286,,1261731,,,,902.2232943400741,361.3
15.430464011866873,0.001,1262316,85,-116.96227146551861,388.61,1261977,4156,14759,1067.36955949,,
17.034826683787117,0.001,1263000,,-117.40791712398023,,1262736,,,,525.1246331870556,240.7
16.35334247472335,0.001,1263306,85,-116.6725245616475,381.08,1262981,4160,14770,1037.91967741,,
14.902853453830208,0.001,1264000,,-117.56996819068645,,1263676,,,,590.6521340191364,255.7
15.273093517531048,0.001,1264382,85,-117.13972741907293,377.21,1264028,4164,14781,1023.10452519,,
14.258512587072104,0.001,1265000,,-118.12654497870084,,1264793,,,,926.1877226352692,375.0
13.788247053615581,0.001,1265446,85,-117.43005152416836,368.65,1265106,4168,14794,989.0151467899999,,
15.766969717465914,0.001,1266000,,-117.64135845287426,,1265796,,,,537.6233877643942,254.3
14.745717802456896,0.001,1266595,85,-117.80664047342262,361.78,1266099,4172,14805,957.64016806,,
14.209800739598467,0.001,1267000,,-118.02009905063039,,1266753,,,,559.2338106453419,270.9
14.754768243202797,0.001,1267774,85,-117.93248349703275,362.43,1267318,4176,14818,958.03922423,,
14.829792355713638,0.001,1268000,,-118.22960380885912,,1267686,,,,918.9194596588611,363.2
13.957621148330631,0.001,1269000,,-119.12922668457031,,1268546,,,,621.1643452554941,270.2
,,1269268,85,,359.89,,4180,14836,947.93402986,,
13.112920605121776,0.001,1270000,,-118.84079332554595,,1269796,,,,479.167884773016,238.5
14.09115270352831,0.001,1270650,85,-119.6522795309232,354.53,1270051,4184,14850,927.0451341800002,,
13.613298196848591,0.001,1271000,,-119.8650090098381,,1270562,,,,1831.7657245813868,682.3
13.39228472389093,0.001,1272000,,-120.40174590038652,,1271771,,,,995.9494361232967,427.1
