time/fps,time/time_elapsed,train/n_updates,train/actor_loss,rollout/ep_len_mean,train/critic_loss,time/total_timesteps,time/episodes,rollout/ep_rew_mean,train/learning_rate,eval/mean_reward,eval/mean_ep_length
,,64942,-164.41521072387695,,53.84745526313782,65000,,,0.001,452.44928790926934,260.1
134,485,,,314.4,,65229,512,468.82115579,,,
,,65752,-164.43479399504486,,64.19661850752654,66000,,,0.001,464.79663314819334,273.3
134,492,66018,-163.6902984389685,311.57,42.9046137565957,66356,516,466.84266089000005,0.001,,
,,66921,-163.41990133048662,,51.723373319588454,67000,,,0.001,524.4776883542538,333.9
135,500,67249,-161.77895271487353,312.37,48.86557334806861,67660,520,469.0662741799999,0.001,,
,,67967,-160.68852133379724,,44.21153687288661,68000,,,0.001,659.0301098167896,463.6
,,68918,-159.6732792225919,,41.77738078682168,69000,,,0.001,609.8162467539311,420.2
135,513,,,303.59,,69371,524,463.73030736,,,
,,69824,-158.15991929372152,,50.19118630091349,70000,,,0.001,583.7143233716488,392.5
135,523,70576,-156.57963478172218,297.3,42.616729218769336,70968,528,460.13218580999995,0.001,,
,,70941,-156.36659978510258,,50.506092055856364,71000,,,0.001,641.8880931735039,445.9
,,71725,-154.95942476571324,,40.47024715808501,72000,,,0.001,487.6176989853382,312.4
135,535,72049,-154.16850017029563,271.08,44.35802110624902,72346,532,439.85524676,0.001,,
,,72686,-153.30369775191596,,47.28806537503443,73000,,,0.001,498.36886976361274,305.1
135,544,73456,-153.10890359393622,261.15,50.87672803963825,73836,536,437.48882943000007,0.001,,
,,73809,-152.9183570688421,,40.82831312644245,74000,,,0.001,539.3759702920913,351.9
,,74943,-151.36547329551294,,33.94683770307406,75000,,,0.001,502.21322934627534,310.1
135,555,,,260.67,,75362,540,440.06577288000005,,,
,,75779,-149.4772918976105,,41.83843123590624,76000,,,0.001,535.1927677929401,351.4
135,565,76489,-149.03193488192917,269.87,41.43575020052081,76778,544,449.41975741999994,0.001,,
,,76751,-148.39224452826812,,29.92185812870055,77000,,,0.001,706.1522416949272,518.0
,,77885,-147.34074669915276,,49.86505200878886,78000,,,0.001,1073.6809054017067,1000.0
135,582,,,285.43,,78912,548,463.88391802000007,,,
,,78885,-147.39311015319825,,33.12379306221008,79000,,,0.001,1022.8855676174164,881.3
,,79654,-146.63577752051415,,33.18413807914843,80000,,,0.001,1047.9378715634346,1000.0
,,80654,-146.91061743164062,,32.77276787614822,81000,,,0.001,1013.3210768401623,1000.0
,,81654,-147.59794885253908,,32.159152339458466,82000,,,0.001,1007.8112002193927,1000.0
132,624,,,316.97,,82681,552,490.81033622999996,,,
,,82654,-148.36349884033203,,35.663809006214144,83000,,,0.001,1006.3127017259598,1000.0
,,83654,-147.7624790649414,,40.397446481227874,84000,,,0.001,995.828988957405,1000.0
,,84654,-147.7490113220215,,33.70156743431091,85000,,,0.001,488.31422520279887,517.1
130,657,85204,-146.51278059525924,341.6,31.242377557754516,85721,556,507.71042940000007,0.001,,
,,85694,-146.67959762884647,,22.502361676157737,86000,,,0.001,747.4912837803364,775.7
,,86573,-146.27624101573622,,39.207624773387884,87000,,,0.001,992.8112143218517,1000.0
,,87573,-146.33063626098632,,30.218944462776186,88000,,,0.001,1003.1163870573043,1000.0
,,88573,-145.5990235595703,,29.61448021745682,89000,,,0.001,1011.757686305046,1000.0
128,699,,,373.32,,89600,560,532.03947839,,,
