train/learning_rate,time/fps,time/total_timesteps,rollout/ep_len_mean,train/actor_loss,train/n_updates,rollout/ep_rew_mean,time/time_elapsed,time/episodes,train/critic_loss,eval/mean_ep_length,eval/mean_reward
,18,62133,144.48,,,365.58854848000004,3437,660,,,
0.001,18,62789,145.78,-107.30968466149756,62599,368.5390594099999,3440,664,28.94642406199352,,
0.001,,63000,,-107.95260847182502,62931,,,,32.340756162383855,152.8,366.6933222234249
0.001,18,63412,146.33,-108.22834014892578,63242,369.37751883,3445,668,29.26673551091177,,
0.001,18,63992,146.78,-108.7743241927203,63824,369.0491643600001,3448,672,24.310187942841473,,
0.001,,64000,,-108.76120747157506,63965,,,,27.591255688498205,141.6,339.5872712016106
0.001,18,64554,146.67,-108.91962718963623,64391,367.65654818999997,3453,676,30.490372578851108,,
0.001,,65000,,-108.93781841502471,64955,,,,26.131389887893903,139.3,375.58924666047096
,18,65111,146.45,,,367.29532302,3457,680,,,
0.001,18,65680,146.85,-110.19393932285594,65504,369.29471020999995,3460,684,21.911353018746446,,
0.001,,66000,,-109.52061252317567,65926,,,,33.24183296983259,155.1,413.2532635450363
0.001,19,66254,146.85,-110.65327858063112,66092,369.8376905199999,3464,688,30.36966346832643,,
0.001,19,66819,146.42,-111.72915464128766,66651,369.36204573,3467,692,29.719050366827783,,
0.001,,67000,,-111.3914447111242,66928,,,,26.684875975636874,137.0,369.9293176710606
0.001,19,67381,146.63,-111.83017247159717,67206,371.12732511999997,3471,696,32.67503361634805,,
0.001,19,67938,146.36,-112.70126698811849,67774,371.09168324,3474,700,26.960562855402628,,
0.001,,68000,,-112.21497872296501,67911,,,,25.95200002280465,143.7,384.7695066034794
0.001,19,68505,146.75,-111.49956011416307,68333,373.25347725,3479,704,26.147459860201234,,
0.001,,69000,,-112.67538475623498,68881,,,,25.608999983954977,151.5,403.88640678524973
,19,69060,146.57,,,373.39895596,3483,708,,,
0.001,19,69678,146.76,-113.80140517593978,69500,374.2951852299999,3486,712,30.85474486474867,,
0.001,,70000,,-113.53377787272136,69948,,,,27.46961924533716,154.6,400.02200519442556
0.001,20,70282,147.39,-113.77592197852799,70106,376.98083790000004,3491,716,22.41585674466966,,
0.001,20,70896,148.26,-114.18051044361012,70722,380.74430409,3494,720,29.952462102280183,,
0.001,,71000,,-113.70529749622084,70869,,,,32.75268639999182,151.4,401.84958099126817
0.001,20,71492,148.52,-114.24970606211069,71323,382.55799888999996,3499,724,22.240347601271964,,
0.001,,72000,,-115.13042334987692,71910,,,,30.83552292275102,142.9,387.10948913693426
,20,72064,148.07,,,381.3902588500001,3504,728,,,
0.001,20,72638,147.95,-114.02445175398641,72467,382.78469939,3507,732,25.329073951862476,,
0.001,,73000,,-115.83841596330915,72900,,,,35.50771614458921,147.7,373.26616497039794
0.001,20,73223,147.8,-116.47822947316355,73054,383.59300645999997,3511,736,25.27402332850865,,
0.001,21,73836,147.69,-116.71252284905849,73658,384.21850268000003,3515,740,22.819177652174428,,
0.001,,74000,,-116.90051692240947,73957,,,,27.898857516211432,150.8,383.3375580072403
0.001,21,74420,147.34,-116.62797088623047,74240,383.79068964,3519,744,17.09404878956931,,
0.001,,75000,,-117.55642827351888,74856,,,,23.242450797173284,136.9,375.28458532691
,21,75018,147.06,,,384.00107252000004,3524,748,,,
0.001,21,75577,146.6,-117.5587991986956,75412,384.07227935000003,3527,752,31.34989592347826,,
0.001,,76000,,-117.51042467005112,75955,,,,21.38095146722167,136.1,373.9571468293667
,21,76119,146.04,,,383.69138597,3531,756,,,
0.001,21,76666,145.33,-118.23954425138585,76500,382.94920630000007,3535,760,27.92531184443721,,
0.001,,77000,,-118.44889091377827,76909,,,,24.89463840060764,138.1,379.4129813194275
0.001,21,77212,144.23,-118.71304741458616,77047,381.68333616999996,3539,764,31.10899047229601,,
0.001,21,77771,143.59,-119.11801485334124,77603,381.56087467,3542,768,22.158208153772016,,
0.001,,78000,,-118.67407449086507,77888,,,,26.063502311706543,138.3,378.36741802692416
0.001,22,78330,143.38,-119.91496000428131,78165,382.55696538999996,3546,772,26.307626962661743,,
0.001,22,78882,143.28,-118.66503345265107,78717,383.65985782,3550,776,24.370882486774974,,
0.001,,79000,,-119.90249114105667,78855,,,,31.149578249972798,137.8,377.2162666320801
0.001,22,79446,143.35,-119.52807097504105,79281,384.21800066,3554,780,24.0483430203774,,
0.001,,80000,,-120.2715716154679,79831,,,,21.93910677018373,143.2,383.0127065360546
,22,80007,143.27,,,383.98486743,3559,784,,,
0.001,22,80546,142.92,-119.64521161247703,80390,382.77481785,3562,788,30.563613057136536,,
0.001,,81000,,-120.57256261853205,80932,,,,21.303328750777418,137.4,375.31970155239105
,22,81095,142.76,,,382.65197750000004,3567,792,,,
0.001,22,81648,142.67,-121.53615166800363,81483,382.28040866000003,3570,796,27.52408160482134,,
0.001,,82000,,-121.94340638553395,81895,,,,28.641912817955017,136.1,373.91919395923617
0.001,22,82196,142.58,-121.31442372939166,82031,382.4532915800001,3574,800,24.851354837417603,,
0.001,23,82757,142.52,-121.37096416416453,82583,382.45487356999996,3577,804,29.318362055884467,,
